ImageNumber,ObjectNumber,Children_Cells_Count,Children_filteredNuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_mitoticRNA
1,1,0,1,859.6126279863481,13.493174061433447,0,1,0
1,2,0,1,531.2432432432432,19.453316953316953,0,2,0
1,3,0,1,751.5096618357488,34.38164251207729,0,3,0
1,4,0,1,917.6550387596899,36.882428940568474,0,4,0
1,5,0,1,465.87510766580533,41.671834625322994,0,5,0
1,6,0,1,276.00652528548125,60.32463295269168,0,6,0
1,7,1,1,344.48565965583174,70.95028680688337,0,7,0
1,8,1,1,772.7651775486827,67.28407789232531,0,8,0
1,9,1,1,182.89528795811518,83.19371727748691,0,9,0
1,10,1,1,869.4204355108877,88.33668341708542,0,10,0
1,11,1,0,120.61833333333334,99.79333333333334,0,11,1
1,12,1,1,759.9433701657458,112.49171270718232,0,12,0
1,13,1,1,731.7864406779661,114.96101694915254,0,13,0
1,14,1,0,633.6724137931035,127.98922413793103,0,14,2
1,15,1,1,555.6367521367522,122.41239316239316,0,15,0
1,16,0,1,35.6873786407767,130.26407766990292,0,16,0
1,17,1,1,331.6439024390244,128.29024390243902,0,17,0
1,18,1,1,605.3060836501901,132.64638783269962,0,18,0
1,19,1,1,877.8059490084986,135.19830028328613,0,19,0
1,20,1,1,932.6371951219512,138.08841463414635,0,20,0
1,21,1,1,433.41477832512317,153.27487684729064,0,21,0
1,22,1,1,348.031884057971,147.32463768115943,0,22,0
1,23,1,1,516.8879618593563,148.3051251489869,0,23,0
1,24,1,0,992.7977528089888,163.80337078651687,0,24,3
1,25,1,1,469.69121447028425,166.14470284237726,0,25,0
1,26,1,0,863.8767967145791,177.32443531827516,0,26,4
1,27,1,1,575.4989816700611,174.09368635437883,0,27,0
1,28,1,1,73.76844262295081,181.6762295081967,0,28,0
1,29,1,1,150.36647727272728,183.14204545454547,0,29,0
1,30,1,1,294.9552880481513,190.08641444539984,0,30,0
1,31,1,1,657.9509269356597,193.74154852780808,0,31,0
1,32,1,1,913.477094972067,193.65698324022347,0,32,0
1,33,1,1,592.6733333333333,197.61333333333334,0,33,0
1,34,1,1,233.12923728813558,211.50423728813558,0,34,0
1,35,1,1,831.5921696574225,219.70309951060358,0,35,0
