ImageNumber,ObjectNumber,Children_Cells_Count,Children_filteredNuclei_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_mitoticRNA
1,1,0,1,627.1406926406927,12.593073593073592,0,1,0
1,2,0,1,362.991610738255,18.513422818791945,0,2,0
1,3,0,1,277.1154970760234,32.37134502923977,0,3,0
1,4,0,1,490.4581005586592,32.85288640595903,0,4,0
1,5,0,1,826.8237762237762,67.4,0,5,0
1,6,0,1,178.7360774818402,74.53510895883777,0,6,0
1,7,0,1,50.13945578231292,78.91836734693878,0,7,0
1,8,1,1,703.3844731977819,78.51386321626617,0,8,0
1,9,1,1,232.4540059347181,93.75370919881306,0,9,0
1,10,1,1,622.5520833333334,96.86875,0,10,0
1,11,0,1,925.0982567353408,96.56101426307448,0,11,0
1,12,1,1,885.9469153515065,99.18938307030129,0,12,0
1,13,1,1,168.83995186522262,113.39590854392299,0,13,0
1,14,1,1,330.7084917617237,120.09125475285171,0,14,0
1,15,1,1,539.1231766612642,117.48136142625607,0,15,0
1,16,1,1,753.4535211267606,114.1169014084507,0,16,0
1,17,0,1,981.9614243323442,111.25370919881306,0,17,0
1,18,1,1,304.24675324675326,122.4582560296846,0,18,0
1,19,1,1,234.2676399026764,124.39416058394161,0,19,0
1,20,1,1,426.4031890660592,122.91343963553531,0,20,0
1,21,1,0,737.0424063116371,142.91321499013807,0,21,1
1,22,1,1,193.73318872017353,149.01301518438177,0,22,0
1,23,1,1,825.858395989975,154.04887218045113,0,23,0
1,24,1,1,565.3981132075472,167.7056603773585,0,24,0
1,25,1,1,374.3682469680265,183.09481808158765,0,25,0
1,26,1,1,834.1953781512605,192.7563025210084,0,26,0
1,27,1,1,624.0605239385727,202.44625112917797,0,27,0
1,28,1,1,253.95910780669146,205.5817843866171,0,28,0
1,29,1,1,514.9678571428572,207.2625,0,29,0
1,30,1,0,119.07130872483222,213.41023489932886,0,30,2
1,31,1,1,60.42424242424242,222.1959595959596,0,31,0
1,32,1,1,740.9581673306773,225.37450199203187,0,32,0
1,33,0,1,973.974025974026,230.19480519480518,0,33,0
1,34,1,1,894.2440944881889,237.3248031496063,0,34,0
1,35,1,1,188.09762532981532,236.22031662269129,0,35,0
1,36,1,1,255.4179104477612,247.27860696517413,0,36,0
1,37,1,1,574.3802447552448,245.00087412587413,0,37,0
1,38,1,1,411.35765550239233,257.1662679425837,0,38,0
1,39,1,0,789.9167597765363,265.7072625698324,0,39,4
1,40,1,1,187.47246891651864,266.3570159857904,0,40,0
1,41,1,0,344.3032197561738,261.2263207252266,0,41,3
1,42,0,1,21.166276346604217,278.24355971896955,0,42,0
1,43,1,1,672.625,279.3204787234043,0,43,0
1,44,1,1,401.9223163841808,289.22457627118644,0,44,0
1,45,1,1,98.73838456040029,293.8784846318799,0,45,0
1,46,1,1,260.6435331230284,298.2018927444795,0,46,0
1,47,1,1,661.3410553410554,306.5057915057915,0,47,0
1,48,1,1,807.2460606060606,319.72242424242427,0,48,0
1,49,1,1,211.270611057226,331.1939864209505,0,49,0
1,50,1,1,117.47779479326186,337.4134762633997,0,50,0
1,51,1,1,674.600624024961,336.86583463338536,0,51,0
1,52,1,1,595.0892703862661,352.89270386266094,0,52,0
1,53,1,1,777.2718286655684,346.993410214168,0,53,0
1,54,1,1,880.6211267605634,349.6943661971831,0,54,0
1,55,1,1,862.9516235917827,367.4850894632207,0,55,0
1,56,1,1,139.0030750307503,381.6328413284133,0,56,0
1,57,1,1,282.84263959390864,376.580372250423,0,57,0
1,58,1,1,789.6969230769231,389.43692307692305,0,58,0
1,59,1,0,674.6603241719521,386.9584214235377,0,59,5
1,60,1,1,467.65836791147996,389.2959889349931,0,60,0
1,61,0,1,17.76605504587156,397.28784403669727,0,61,0
1,62,1,1,531.4,406.1022624434389,0,62,0
1,63,1,1,202.1838681699913,417.7372072853426,0,63,0
1,64,1,0,583.5929203539823,419.91858407079644,0,64,7
1,65,1,0,684.5752380952381,425.34285714285716,0,65,6
1,66,1,0,289.5513043478261,434.8504347826087,0,66,9
1,67,1,0,434.0610687022901,439.5605234460196,0,67,8
1,68,1,1,663.6951219512196,436.6788617886179,0,68,0
1,69,0,1,999.241308793456,445.2402862985685,0,69,0
1,70,1,1,351.2022471910112,447.4279877425945,0,70,0
1,71,1,1,706.5847750865051,462.79757785467126,0,71,0
1,72,1,1,771.3289630512514,478.3301549463647,0,72,0
1,73,1,1,298.40292148508826,502.6877662811929,0,73,0
1,74,0,1,11.08637236084453,520.0441458733205,0,74,0
1,75,1,1,730.5216049382716,530.1543209876543,0,75,0
1,76,1,1,642.6599241466498,536.188369152971,0,76,0
1,77,1,1,410.99070847851334,557.0081300813008,0,77,0
1,78,1,1,715.0789980732177,580.2215799614644,0,78,0
1,79,1,1,818.8854271356784,576.6894472361809,0,79,0
1,80,1,1,644.3795620437957,583.8807785888077,0,80,0
1,81,1,1,87.87692307692308,591.7982905982906,0,81,0
1,82,1,1,944.1172707889126,594.680170575693,0,82,0
1,83,1,1,896.2672727272727,603.0145454545454,0,83,0
1,84,1,1,264.86764705882354,607.8337104072398,0,84,0
1,85,1,1,689.2773054283846,616.3557880967953,0,85,0
1,86,0,1,20.765399737876802,632.0963302752293,0,86,0
1,87,1,0,979.8300711743773,628.4501779359431,0,87,11
1,88,1,1,439.51050228310504,629.17899543379,0,88,0
1,89,1,1,513.1443965517242,661.7183908045977,0,89,0
1,90,1,1,955.6355633802817,683.7816901408451,0,90,0
1,91,1,1,859.632271468144,694.2347645429363,0,91,0
1,92,0,1,46.54834254143646,709.1726519337017,0,92,0
1,93,1,1,499.882005899705,721.9631268436578,0,93,0
1,94,1,1,157.80615384615385,727.6830769230769,0,94,0
1,95,1,1,392.0576923076923,736.8450854700855,0,95,0
1,96,1,1,669.4793893129771,735.1969465648855,0,96,0
1,97,0,1,976.4673507462686,740.5736940298508,0,97,0
1,98,1,1,710.5485668789809,744.3033439490446,0,98,0
1,99,1,0,831.9921540656205,754.8031383737518,0,99,12
1,100,1,1,155.05049332559489,765.9303540336622,0,100,0
1,101,1,1,410.23216601815824,768.6290531776913,0,101,0
1,102,1,1,636.5171428571429,779.0,0,102,0
1,103,1,1,517.6750788643533,783.9242902208202,0,103,0
1,104,1,1,305.037109375,791.986328125,0,104,0
1,105,1,0,586.2449888641426,794.0267260579064,0,105,14
1,106,1,1,860.4152249134949,795.5501730103806,0,106,0
1,107,1,0,566.9874301675977,806.0027932960894,0,107,14
1,108,1,0,88.08723747980613,818.9483037156705,0,108,15
1,109,1,1,450.73884297520664,824.2694214876033,0,109,0
1,110,1,1,889.7713717693837,830.5626242544731,0,110,0
1,111,1,0,838.2376425855514,833.8384030418251,0,111,17
1,112,0,0,963.639260020555,832.1860226104831,0,112,16
1,113,1,1,924.9326347305389,838.8907185628742,0,113,0
1,114,1,1,484.4223541048467,849.4451038575668,0,114,0
1,115,1,1,373.61434370771315,849.2395128552098,0,115,0
1,116,1,1,173.20893371757924,860.1613832853026,0,116,0
1,117,1,1,69.45454545454545,864.211093990755,0,117,0
1,118,1,1,547.1188118811881,866.3777608530083,0,118,0
1,119,1,1,106.29624060150375,875.9248120300751,0,119,0
1,120,1,1,31.304832713754646,870.914498141264,0,120,0
1,121,1,1,906.8305676855895,867.2960698689957,0,121,0
1,122,1,1,246.88164665523155,874.5094339622641,0,122,0
1,123,1,1,647.6708385481852,878.6545682102628,0,123,0
1,124,1,1,522.1894736842105,897.5707602339181,0,124,0
1,125,1,1,432.97094801223244,902.8211009174312,0,125,0
1,126,1,0,750.7567237163814,901.4779951100245,0,126,18
1,127,1,1,928.889466840052,914.8049414824447,0,127,0
1,128,1,1,319.6547008547009,924.6700854700855,0,128,0
1,129,1,1,874.5469728601253,940.4843423799582,0,129,0
1,130,0,1,1010.1711340206185,942.239175257732,0,130,0
1,131,1,1,698.3685220729367,954.0902111324376,0,131,0
1,132,0,1,68.90350877192982,955.2421052631579,0,132,0
1,133,1,1,118.23172103487065,962.933633295838,0,133,0
1,134,1,1,197.66666666666666,961.2351046698873,0,134,0
1,135,1,1,395.081589958159,959.7939330543933,0,135,0
1,136,1,1,753.1,972.6949152542373,0,136,0
1,137,0,1,587.738336713996,971.9087221095334,0,137,0
1,138,0,1,425.76898222940224,981.3828756058158,0,138,0
1,139,0,1,724.4457364341085,1000.8798449612403,0,139,0
1,140,0,1,315.5907473309609,1003.2224199288256,0,140,0
